stock,headline,sentiment,score
BERKSHIRE,Brookfield Corporation Has Become the Next Berkshire Hathaway,neutral,-0.1205
BERKSHIRE,Warren Buffett Isn't Buying The Dip Yet — Here's What Kind Of Market Drop He's Waiting For Instead,neutral,-0.1205
BERKSHIRE,Iran Is Not Blocking the Strait of Hormuz. It's Running a Toll Booth,neutral,-0.1205
NESTLE,"Twelve Tons of KitKats Were Stolen, and You Can Help Find Them",positive,0.196
NESTLE,Website Inspiration: Nestle,positive,0.196
NESTLE,New school food rules on the horizon?,positive,0.196
NESTLE,Taking a sweet break,positive,0.196
NESTLE,"KitKat truck gets multi-car security escort, give me a break?",positive,0.196
LVMH,The world's 20 richest people are $90 billion wealthier after the US-Iran ceasefire sparked a big stock rally,positive,0.1708
LVMH,【ジバンシイ】イレジスティブル パティスリー ポップアップイベント開催！！,positive,0.1708
LVMH,【ジバンシイ】「ジェントルマン オーデパルファム ソサイエティ」から父の日におすすめコフレが新登場,positive,0.1708
LVMH,How Costco Won in Japan,positive,0.1708
LVMH,Fondation Louis Vuitton to host Alexander Calder retrospective,positive,0.1708
ASML,ASML Holding (ASML) Secures $8 Billion EUV Equipment Order,positive,0.2558
ASML,ASML Revenue Is About to Explode Higher Again,positive,0.2558
ASML,Commentary: US MATCH Act tightens chip tool controls as China builds local supply chain,positive,0.2558
ASML,"Fueled by Musk's TeraFab tie-in, Intel's market cap hits highest level in 25 years — tops $300 billion on CPU, AI, and foundry momentum",positive,0.2558
ASML,Analysis: ASML earnings preview; SK Hynix and TeraFab already facing EUV capacity difficulties,positive,0.2558
SAP,4 Mistakes That Can Ruin Your PlayStation 5 Controller,neutral,0.0139
SAP,Security updates for Wednesday,neutral,0.0139
SAP,"AI agents promise to 'run the business,' but who is liable if things go wrong?",neutral,0.0139
SAP,"MCP, A2A, NLWeb, And AGENTS.md: The Standards Powering The Agentic Web via @sejournal, @slobodanmanic",neutral,0.0139
SAP,"If You Got a Bonus in 2025, Here Are 4 Moves You Might Want To Make Before Filing Taxes",neutral,0.0139
SAMSUNG,Samsung’s Galaxy Watch 8 is easier to recommend now it starts at $260,neutral,0.0155
SAMSUNG,Apple Subpoenas Samsung in South Korea Over DOJ Antitrust Case,neutral,0.0155
SAMSUNG,Fear not: Samsung is investigating the Galaxy S26 Ultra's 'blurry' camera,neutral,0.0155
SAMSUNG,"Samsung just made the Galaxy Z Fold 7 more expensive, quietly",neutral,0.0155
SAMSUNG,Samsung's Messages app is shutting down in 2026: Here's what you need to do,neutral,0.0155
ALIBABA,"Z.ai raises prices for its most advanced AI model, GLM-5.1, by at least 8% compared to GLM-5 Turbo, joining Alibaba and Tencent as demand for agentic AI surges (Luz Ding/Bloomberg)",neutral,0.135
ALIBABA,AI is changing how small online sellers decide what to make,neutral,0.135
ALIBABA,"Alibaba Just Revealed Its New Agentic AI Model. Should You Buy, Sell, or Hold BABA Stock Now?",neutral,0.135
ALIBABA,Alibaba and Meta retreat from open-source AI,neutral,0.135
ALIBABA,Alibaba tightens AI strategy with CEO-led committee and executive reshuffle,neutral,0.135
SONY,Suno and major music labels reportedly clash over AI music sharing,neutral,0.1373
SONY,Sony True RGB TV technology: First impressions,neutral,0.1373
SONY,Sony’s PS5 Price Hikes Prove This Console Generation Is Far From Over. Good.,neutral,0.1373
SONY,Huawei's FreeBuds Pro 5 convinced me to ditch the Bose QC Ultra Gen 2,neutral,0.1373
SONY,15 Major Pieces of Movie News That Might Break Next Week,neutral,0.1373
TSMC,More threats to Apple’s chipmaker through attempted theft of TSMC technology,neutral,0.0064
TSMC,Elon Musk's $25 Billion Terafab Project Gets a Helping Hand From Intel,neutral,0.0064
TSMC,Weekly news roundup: China's special AI chip supply ends; TSMC plans 12 fabs in Arizona,neutral,0.0064
TSMC,China Targets Taiwan’s Chip Tech to Evade Global ‘Containment’: Taipei Government,neutral,0.0064
TSMC,TSMC Is Set to Talk About the Biggest Risk It Faces with Chip Production Right Now; One That Could Derail the AI Frenzy,neutral,0.0064
